id,original_position,operation_date_original,type_original,internal_number_original,is_origine_original,label_original,amount_original,sorted_position,operation_date_sorted,type_sorted,internal_number_sorted,is_origine_sorted,label_sorted,amount_sorted,position_diff
226707,1,2025-09-01,agios,INT_8AE40D91,False,REMISE EFFET/ESCOMPTE AGENCE DU 15 08 2025,-6017.944,1,2025-09-01,agios,INT_8AE40D91,False,REMISE EFFET/ESCOMPTE AGENCE DU 15 08 2025,-6017.944,0
226708,2,2025-09-01,agios,INT_5665AE78,False,REMISE EFFET/ESCOMPTE AGENCE DU 15 08 2025,-3314.174,2,2025-09-01,agios,INT_5665AE78,False,REMISE EFFET/ESCOMPTE AGENCE DU 15 08 2025,-3314.174,0
226709,3,2025-09-01,agios,INT_5916C986,False,REMISE EFFET/ESCOMPTE AGENCE DU 18 08 2025,-1929.211,3,2025-09-01,agios,INT_5916C986,False,REMISE EFFET/ESCOMPTE AGENCE DU 18 08 2025,-1929.211,0
226710,4,2025-09-01,agios,INT_BDD05E97,False,REMISE EFFET/ESCOMPTE AGENCE DU 18 08 2025,-6383.214,4,2025-09-01,agios,INT_BDD05E97,False,REMISE EFFET/ESCOMPTE AGENCE DU 18 08 2025,-6383.214,0
226711,5,2025-09-01,agios,INT_F1A75E0B,False,REMISE EFFET/ESCOMPTE AGENCE DU 18 08 2025,-861.924,5,2025-09-01,agios,INT_F1A75E0B,False,REMISE EFFET/ESCOMPTE AGENCE DU 18 08 2025,-861.924,0
226712,6,2025-09-01,,INT_B1EACA17,False,REMISE EFFET/ESCOMPTE AGENCE REJET ESCOMPTE A,-45000.0,6,2025-09-01,,INT_B1EACA17,False,REMISE EFFET/ESCOMPTE AGENCE REJET ESCOMPTE A,-45000.0,0
226713,7,2025-09-01,agios,INT_A93F6407,False,REMISE EFFET/ESCOMPTE AGENCE DU 18 08 2025,-271.343,7,2025-09-01,agios,INT_A93F6407,False,REMISE EFFET/ESCOMPTE AGENCE DU 18 08 2025,-271.343,0
226714,8,2025-09-01,origine,INT_CF4F26D5,True,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:1,73007.298,8,2025-09-01,origine,INT_CF4F26D5,True,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:1,73007.298,0
226715,9,2025-09-01,tva,INT_4BC195B4,False,PAYEMENT EFFET 310825TVA  010396998350,-0.057,11,2025-09-01,tva,INT_4BC195B4,False,PAYEMENT EFFET 310825TVA  010396998350,-0.057,2
226716,10,2025-09-01,plo,INT_4BC195B4,False,PAYEMENT EFFET 310825PLO  010396998350,-0.75,12,2025-09-01,plo,INT_4BC195B4,False,PAYEMENT EFFET 310825PLO  010396998350,-0.75,2
