bank_transaction_id,bank_operation_date,bank_amount,bank_ref,bank_payment_class,bank_label,customer_transaction_id,customer_accounting_date,customer_amount,customer_document_number,customer_external_doc_number,customer_payment_type,customer_description,score
75056,2025-01-17,-18719.325,10109449610,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 160125 LCN 10109449610,9620,2025-03-24,18719.325,BEB24000204,1,CLT EFFET,Validation Effet escompté en Banque,70.0
75058,2025-01-20,7883.77,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:3,9208,2025-01-20,7883.77,BEB24000128,10155327894,CLT EFFET,Validation Effet escompté en Banque,85.0
75249,2025-02-03,-85764.228,10287801764,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 310125 LCN 10287801764,9292,2025-02-03,-85764.228,BVC250000145,10287201764,CLT EFFET,Valider Impayé via escompte,98.63636363636364
75324,2025-02-11,-28750.0,10155322171,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 100225 LCN 10155322171,9356,2025-02-11,-28750.0,BVC250000354,10155322171,CLT EFFET,Valider Impayé via escompte,100.0
75330,2025-02-11,-70134.839,10109491320,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 100225 LCN 10109491320,9375,2025-02-17,70134.839,BEB24000120,10155433042,CLT EFFET,Validation Effet escompté en Banque,82.0
75434,2025-02-21,-7000.0,10309251665,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 200225 LCN 10309251665,9379,2025-02-17,7000.0,BEB24000120,10155441384,CLT EFFET,Validation Effet escompté en Banque,85.5
75458,2025-02-25,-28750.0,10155322850,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 240225 LCN 10155322850,9441,2025-02-25,-28750.0,BVC250000355,10155322850,CLT EFFET,Valider Impayé via escompte,100.0
75540,2025-03-03,-28750.0,10155319843,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 280225 LCN 10155319843,9469,2025-03-03,-28750.0,BVC250000407,10155319843,CLT EFFET,Valider Impayé via escompte,100.0
75635,2025-03-11,-33100.0,10155346421,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 100325 LCN 10155346421,9540,2025-03-11,-33100.0,BVC250000427,10155346421,CLT EFFET,Valider Impayé via escompte,100.0
75677,2025-03-17,-28750.0,10155323238,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 140325 LCN 10155323238,9561,2025-03-17,-28750.0,BVC250000410,10155323238,CLT EFFET,Valider Impayé via escompte,100.0
75690,2025-03-18,-18719.325,10109449804,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 160325 LCN 10109449804,9620,2025-03-24,18719.325,BEB24000204,1,CLT EFFET,Validation Effet escompté en Banque,88.0
